Elevation,Elevation,Elevation,Area,Volume
(feet NGVD29),(feet NAVD88),(feet MSL LCRA Legacy Datum),(acres),(acre-feet)
730.4,730.6,730,35126.99212600320,2401606.09896097000
730.39,730.59,729.99,35122.78785602850,2401254.85006221000
730.38,730.58,729.98,35118.58502206380,2400903.64319881000
730.37,730.57,729.97,35114.38340890270,2400552.47835675000
730.36,730.56,729.96,35110.18154575530,2400201.35553145000
730.35,730.55,729.95,35105.97931671720,2399850.27472704000
730.34,730.54,729.94,35101.77692978420,2399499.23594605000
730.33,730.53,729.93,35097.57482297520,2399148.23918756000
730.32,730.52,729.92,35093.37284853990,2398797.28444949000
730.31,730.51,729.91,35089.17101406800,2398446.37173003000
730.3,730.5,729.9,35084.96923219010,2398095.50102778000
730.29,730.49,729.89,35080.76571472220,2397744.67235170000
730.28,730.48,729.88,35076.56048056240,2397393.88571924000
730.27,730.47,729.87,35072.35933513540,2397043.14112121000
730.26,730.46,729.86,35068.15650125110,2396692.43853972000
730.25,730.45,729.85,35063.95132468320,2396341.77799885000
730.24,730.44,729.84,35059.74338286270,2395991.15952273000
730.23,730.43,729.83,35055.53384308310,2395640.58313545000
730.22,730.42,729.82,35051.32324411390,2395290.04884917000
730.21,730.41,729.81,35047.11216108130,2394939.55667309000
730.2,730.4,729.8,35042.90026791780,2394589.10660859000
730.19,730.39,729.79,35038.68598331730,2394238.69867539000
730.18,730.38,729.78,35034.46941724520,2393888.33289761000
730.17,730.37,729.77,35030.25300027550,2393538.00928329000
730.16,730.36,729.76,35026.03403304410,2393187.72784596000
730.15,730.35,729.75,35021.81338595500,2392837.48860744000
730.14,730.34,729.74,35017.58907184800,2392487.29158953000
730.13,730.33,729.73,35013.35858268820,2392137.13684665000
730.12,730.32,729.72,35009.12615674010,2391787.02442378000
730.11,730.31,729.71,35004.89412470390,2391436.95432185000
730.1,730.3,729.7,35000.66133727500,2391086.92654339000
730.09,730.29,729.69,34996.42762032830,2390736.94109826000
730.08,730.28,729.68,34992.19343484390,2390386.99799265000
730.07,730.27,729.67,34987.95631093430,2390037.09724105000
730.06,730.26,729.66,34983.71565162080,2389687.23887787000
730.05,730.25,729.65,34979.47146791780,2389337.42293916000
730.04,730.24,729.64,34975.22234534670,2388987.64946970000
730.03,730.23,729.63,34970.97415319100,2388637.91848852000
730.02,730.22,729.62,34966.72712391640,2388288.22998324000
730.01,730.21,729.61,34962.48120016530,2387938.58394261000
730,730.2,729.6,34958.23655883610,2387588.98035422000
729.99,730.19,729.59,34953.99324828740,2387239.41920684000
729.98,730.18,729.58,34949.75163424700,2386889.90048462000
729.97,730.17,729.57,34945.51384550960,2386540.42416047000
729.96,730.16,729.56,34941.27983404270,2386190.99019536000
729.95,730.15,729.55,34937.04874746330,2385841.59855211000
729.94,730.14,729.54,34932.81393833560,2385492.24924196000
729.93,730.13,729.53,34928.58324084020,2385142.94225941000
729.92,730.12,729.52,34924.35690659320,2384793.67756221000
729.91,730.11,729.51,34920.13152085860,2384444.45512994000
729.9,730.1,729.5,34915.90992063360,2384095.27492378000
729.89,730.09,729.49,34911.69004196970,2383746.13692562000
729.88,730.08,729.48,34907.47202419420,2383397.04111662000
729.87,730.07,729.47,34903.25466682050,2383047.98748347000
729.86,730.06,729.46,34899.03701311290,2382698.97602410000
729.85,730.05,729.45,34894.81764246560,2382350.00674747000
729.84,730.04,729.44,34890.59715751150,2382001.07967493000
729.83,730.03,729.43,34886.37811299820,2381652.19480005000
729.82,730.02,729.42,34882.16142118920,2381303.35210537000
729.81,730.01,729.41,34877.94774852160,2380954.55156152000
729.8,730,729.4,34873.73644354000,2380605.79314233000
729.79,729.99,729.39,34869.52616951790,2380257.07682989000
729.78,729.98,729.38,34865.31427338150,2379908.40262420000
729.77,729.97,729.37,34861.10200412760,2379559.77054316000
729.76,729.96,729.36,34856.89064949490,2379211.18058127000
729.75,729.95,729.35,34852.67995061750,2378862.63272865000
729.74,729.94,729.34,34848.47079558080,2378514.12697635000
729.73,729.93,729.33,34844.26299586550,2378165.66330808000
729.72,729.92,729.32,34840.05548426310,2377817.24171556000
729.71,729.91,729.31,34835.84983241970,2377468.86218916000
729.7,729.9,729.3,34831.64471554410,2377120.52471694000
729.69,729.89,729.29,34827.44074680440,2376772.22929201000
729.68,729.88,729.28,34823.23997099170,2376423.97589073000
729.67,729.87,729.27,34819.04063206150,2376075.76448852000
729.66,729.86,729.26,34814.84207761480,2375727.59507484000
729.65,729.85,729.25,34810.64404804180,2375379.46764532000
729.64,729.84,729.24,34806.44373036270,2375031.38220363000
729.63,729.83,729.23,34802.24000563130,2374683.33878214000
729.62,729.82,729.22,34798.03535623050,2374335.33740657000
729.61,729.81,729.21,34793.83247390730,2373987.37806887000
729.6,729.8,729.2,34789.63062326450,2373639.46075413000
729.59,729.79,729.19,34785.42916603080,2373291.58545386000
729.58,729.78,729.18,34781.22567747930,2372943.75217952000
729.57,729.77,729.17,34777.02152411160,2372595.96094261000
729.56,729.76,729.16,34772.81678387050,2372248.21175046000
729.55,729.75,729.15,34768.60983376030,2371900.50462695000
729.54,729.74,729.14,34764.40892029150,2371552.83953535000
729.53,729.73,729.13,34760.21014795000,2371205.21644169000
